,UNIT,DATEn,TIMEn,Hour,DESCn,ENTRIESn_hourly,EXITSn_hourly,maxpressurei,maxdewpti,mindewpti,minpressurei,meandewpti,meanpressurei,fog,rain,meanwindspdi,mintempi,meantempi,maxtempi,precipi,thunder
15111,R297,5/4/2011,13:00:00,13,REGULAR,1309,934,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15112,R297,5/4/2011,17:00:00,17,REGULAR,1203,1491,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15113,R297,5/4/2011,21:00:00,21,REGULAR,1119,1915,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15114,R298,5/4/2011,1:00:00,1,REGULAR,271,645,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15115,R298,5/4/2011,5:00:00,5,REGULAR,48,67,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15116,R298,5/4/2011,9:00:00,9,REGULAR,2902,840,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15117,R298,5/4/2011,13:00:00,13,REGULAR,1562,588,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15118,R298,5/4/2011,17:00:00,17,REGULAR,1477,1475,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15119,R298,5/4/2011,21:00:00,21,REGULAR,1058,2045,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15120,R299,5/4/2011,1:00:00,1,REGULAR,77,82,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15121,R299,5/4/2011,5:00:00,5,REGULAR,77,181,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15122,R299,5/4/2011,6:52:17,6,REGULAR,0,44,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15123,R299,5/4/2011,9:00:00,9,REGULAR,578,95,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15124,R299,5/4/2011,13:00:00,13,REGULAR,661,629,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15125,R299,5/4/2011,17:00:00,17,REGULAR,1383,1173,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15126,R299,5/4/2011,21:00:00,21,REGULAR,624,843,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15127,R300,5/4/2011,0:00:00,0,REGULAR,3097,2663,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15128,R300,5/4/2011,4:00:00,4,REGULAR,691,347,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15129,R300,5/4/2011,8:00:00,8,REGULAR,231,308,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15130,R300,5/4/2011,12:00:00,12,REGULAR,6338,4491,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15131,R300,5/4/2011,16:00:00,16,REGULAR,3223,2958,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15132,R300,5/4/2011,20:00:00,20,REGULAR,4490,6188,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15133,R301,5/4/2011,1:00:00,1,REGULAR,621,450,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15134,R301,5/4/2011,5:00:00,5,REGULAR,46,58,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15135,R301,5/4/2011,9:00:00,9,REGULAR,1085,1554,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15136,R301,5/4/2011,13:00:00,13,REGULAR,1149,2370,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15137,R301,5/4/2011,17:00:00,17,REGULAR,1822,1292,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15138,R301,5/4/2011,21:00:00,21,REGULAR,3245,2621,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15139,R302,5/4/2011,1:00:00,1,REGULAR,2009,457,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15140,R302,5/4/2011,5:00:00,5,REGULAR,199,182,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15141,R302,5/4/2011,9:00:00,9,REGULAR,643,4890,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15142,R302,5/4/2011,13:00:00,13,REGULAR,1615,4752,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15143,R302,5/4/2011,17:00:00,17,REGULAR,3949,2302,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15144,R302,5/4/2011,21:00:00,21,REGULAR,7316,1422,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15145,R303,5/4/2011,0:00:00,0,REGULAR,644,1430,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15146,R303,5/4/2011,4:00:00,4,REGULAR,115,359,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15147,R303,5/4/2011,8:00:00,8,REGULAR,373,862,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15148,R303,5/4/2011,12:00:00,12,REGULAR,3626,2097,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15149,R303,5/4/2011,16:00:00,16,REGULAR,1764,1427,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15150,R303,5/4/2011,20:00:00,20,REGULAR,2416,2099,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15151,R304,5/4/2011,0:00:00,0,REGULAR,533,309,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15152,R304,5/4/2011,4:00:00,4,REGULAR,78,29,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15153,R304,5/4/2011,8:00:00,8,REGULAR,411,245,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15154,R304,5/4/2011,12:00:00,12,REGULAR,2367,1755,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15155,R304,5/4/2011,16:00:00,16,REGULAR,1962,605,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15156,R304,5/4/2011,20:00:00,20,REGULAR,3797,763,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15157,R306,5/4/2011,1:00:00,1,REGULAR,119,85,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15158,R306,5/4/2011,5:00:00,5,REGULAR,59,7,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15159,R306,5/4/2011,9:00:00,9,REGULAR,1640,76,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15160,R306,5/4/2011,13:00:00,13,REGULAR,666,127,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15161,R306,5/4/2011,17:00:00,17,REGULAR,544,205,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15162,R306,5/4/2011,21:00:00,21,REGULAR,391,244,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15163,R307,5/4/2011,0:00:00,0,REGULAR,240,249,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15164,R307,5/4/2011,4:00:00,4,REGULAR,64,82,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15165,R307,5/4/2011,12:00:00,12,REGULAR,1244,1378,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15166,R307,5/4/2011,16:00:00,16,REGULAR,738,661,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15167,R307,5/4/2011,20:00:00,20,REGULAR,889,666,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15168,R308,5/4/2011,0:00:00,0,REGULAR,441,812,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15169,R308,5/4/2011,4:00:00,4,REGULAR,81,225,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15170,R308,5/4/2011,8:00:00,8,REGULAR,0,58,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15171,R308,5/4/2011,12:00:00,12,REGULAR,3061,1040,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15172,R308,5/4/2011,16:00:00,16,REGULAR,1063,895,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
